track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
When It's Over - David Kahne Main,Sugar Ray,2001,99,E,Major,67,93,77,3,0,38,5,Group,White (American)
Ain't It Funny,Jennifer Lopez,2001,99,C,Minor,71,56,87,8,0,13,4,Female,Multiracial (American)
Music (feat. Marvin Gaye),Erick Sermon,2001,100,A#,Minor,89,88,46,18,0,7,20,Male,Black (American)
Promise,Jagged Edge,2001,128,F,Minor,75,64,56,13,0,2,8,Group,Black (American)
I'm Already There,Lonestar,2001,133,D#,Major,37,22,39,61,0,29,3,Group,White (American)
Rise,GABRIELLE,2001,144,G#,Major,55,63,48,31,0,9,2,Female,Black (British)
Until The End Of Time,2Pac,2001,96,G#,Major,75,37,70,2,0,19,20,Male,Black (American)
Rapture (feat.Nadia Ali),iio,2001,123,G#,Major,66,60,85,7,1,19,3,Group,Multiracial (American)
Have You Ever,S Club,2001,139,C,Major,58,51,70,53,0,21,3,Group,Multiracial (British)
Lovin' Each Day,Ronan Keating,2001,106,C#,Major,54,82,89,1,0,28,6,Male,White (Irish)
Queen of My Heart - Radio Edit,Westlife,2001,109,B,Major,51,31,49,14,0,13,2,Group,White (Irish)
It's Over Now,112,2001,97,C#,Major,66,23,71,1,0,7,4,Group,Black (American)
Heaven Is a Halfpipe (If I Die),OPM,2001,95,G#,Major,74,77,89,7,0,36,3,Group,Multiracial (American)
Stutter (feat. Mystikal) - Double Take Remix,Joe,2001,89,F#,Major,76,67,75,5,0,31,11,Male,Black (American)
Love,Musiq Soulchild,2001,99,C#,Minor,56,33,38,34,0,8,4,Male,Black (American)
Point of View - Radio Edit,DB Boulevard,2001,129,F#,Major,67,27,71,0,7,6,2,Group,White (Italian)
Play,Jennifer Lopez,2001,104,C#,Minor,77,89,72,3,0,3,16,Female,Multiracial (American)
No More (Baby I'ma Do Right),3LW,2001,88,D,Minor,72,76,72,10,0,6,6,Group,Multiracial (American)
Eternal Flame - Single Version,Atomic Kitten,2001,83,C,Major,57,40,58,6,0,6,3,Group,White (British)
No More Drama,Mary J. Blige,2001,97,F#,Minor,65,64,83,53,0,7,12,Female,Black (American)
One Minute Man (feat. Ludacris),Missy Elliott,2001,93,A,Major,62,56,66,2,0,15,32,Female,Black (American)
Romeo,Basement Jaxx,2001,126,D,Major,70,84,84,0,0,13,4,Group,Multiracial (British)
AM To PM,Christina Milian,2001,105,A#,Minor,87,82,86,15,0,84,12,Female,Multiracial (American)
Do You Really Like It? - Radio Edit,DJ Pied Piper & The Masters Of Ceremonies,2001,131,D,Major,84,76,87,12,0,14,4,Group,Multiracial (British)
We Come 1 - Radio Edit,Faithless,2001,135,F,Minor,64,61,90,0,79,14,4,Group,White (British)
Here's to the Night,Eve 6,2001,97,G,Major,58,35,65,4,0,7,2,Group,White (American)
Gone,*NSYNC,2001,113,B,Minor,70,49,40,43,0,10,5,Group,Multiracial (American)
Dilemma,Nelly,2002,168,D,Minor,72,60,55,22,0,19,14,Male,Black (American)
Without Me,Eminem,2002,112,G,Major,90,66,66,0,0,23,7,Male,White (American)
Complicated,Avril Lavigne,2002,77,F,Major,58,42,77,5,0,30,4,Female,White (Canadian)
A Thousand Miles,Vanessa Carlton,2002,94,B,Major,56,26,82,32,0,16,3,Female,White (American)
Wherever You Will Go,The Calling,2002,112,D,Major,55,37,71,3,0,11,2,Group,White (American)
Underneath Your Clothes,Shakira,2002,165,G#,Major,61,36,59,69,0,10,4,Female,Multiracial (Colombian)
Underneath It All,No Doubt,2002,138,E,Major,72,83,73,23,0,39,6,Group,Multiracial (American)
In the End,Linkin Park,2002,105,D#,Minor,55,40,86,0,0,20,5,Group,Multiracial (American)
The Scientist,Coldplay,2002,146,F,Major,55,21,44,73,0,11,2,Group,White (British)
Till I Collapse,Eminem,2002,171,C#,Major,54,10,84,6,0,8,18,Male,White (American)
Can't Stop,Red Hot Chili Peppers,2002,91,A,Major,61,87,93,1,0,16,4,Group,White (American)
Hot In Herre,Nelly,2002,107,B,Minor,95,91,74,20,0,6,12,Male,Black (American)
Sk8er Boi,Avril Lavigne,2002,149,C,Major,48,48,90,0,0,35,4,Female,White (Canadian)
Don't Know Why,Norah Jones,2002,88,F,Major,74,63,21,85,0,6,2,Female,White (American)
Foolish,Ashanti,2002,90,C,Major,66,70,69,34,0,10,5,Female,Black (American)
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,2002,93,G#,Major,83,91,70,2,0,10,5,Male,Black (American)
By the Way,Red Hot Chili Peppers,2002,122,C,Major,45,19,97,2,0,10,10,Group,White (American)
Clocks,Coldplay,2002,130,F,Minor,57,25,74,59,1,18,2,Group,White (British)
Cleanin' Out My Closet,Eminem,2002,148,A,Minor,90,87,75,6,0,7,17,Male,White (American)
My Sacrifice,Creed,2002,146,D,Major,32,25,88,0,0,7,5,Group,White (American)
She Hates Me,Puddle Of Mudd,2002,109,E,Major,57,58,74,0,0,75,3,Group,White (American)
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,2002,85,F#,Major,64,51,75,1,0,64,30,Male,Black (American)
In My Place,Coldplay,2002,144,A,Major,42,19,58,5,0,29,2,Group,White (British)
U Got It Bad,USHER,2002,124,C#,Major,81,64,50,2,0,7,3,Male,Black (American)
Get the Party Started,P!nk,2002,128,B,Minor,80,96,90,0,0,17,4,Female,White (American)
Work It,Missy Elliott,2002,101,C#,Major,88,58,67,7,0,7,28,Female,Black (American)
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine, Mario Winans]",Diddy,2002,199,C#,Minor,71,77,47,42,0,3,48,Male,Black (American)
Landslide,The Chicks,2002,145,D,Major,57,44,43,53,0,18,2,Group,White (American)
